 dev_sum_clicks_decision_title:0 "Dev Clicks Counter"
 dev_sum_clicks_decision_desc:0 "To see a summary of your manual development growth via development clicks, hover over the 'requirements' for this decision."
 dev_sum_clicks_decision_tooltip:0 "Manual Development:\n\n§W£adm£ Development Gained: §G[This.dev_adm_clicks.GetValue] \n§W£dip£ Development Gained: §G[This.dev_dip_clicks.GetValue] \n§W£mil£ Development Gained: §G[This.dev_mil_clicks.GetValue] \n\n§WTotal Development Gained: §Y[This.dev_sum_clicks.GetValue]"
 mjl_events.EVTNAME4:0 "Change School"
 mjl_events.EVTDESC4:0 ""
 mjl_events.EVTOPTA4:0 "Hanafi"
 mjl_events.EVTOPTB4:0 "Hanbali"
 mjl_events.EVTOPTC4:0 "Maliki"
 mjl_events.EVTOPTD4:0 "Shafii"
 mjl_events.EVTOPTE4:0 "Jafari"
 mjl_events.EVTOPTF4:0 "Ismaili"
 mjl_events.EVTOPTG4:0 "Zaidi"
 mjl_events.EVTNAME5:0 "Change School"
 mjl_events.EVTDESC5:0 ""
 mjl_events.EVTOPTA5:0 "Hanafi"
 mjl_events.EVTOPTB5:0 "Hanbali"
 mjl_events.EVTOPTC5:0 "Maliki"
 mjl_events.EVTOPTD5:0 "Shafii"
 mjl_events.EVTOPTE5:0 "Jafari"
 mjl_events.EVTOPTF5:0 "Ismaili"
 mjl_events.EVTOPTG5:0 "Zaidi"
 mjl_change_muslim_school_decision_tt:0 "Trigger event allowing to change muslim school."
 mjl_change_muslim_school_title:0 "Change School"
 mjl_change_muslim_school_desc:0 "Change School"
 mjl_1444_change_school_cd_tt:0 "Religious school can be changed only once every §Y25§! years."
 mjl_max_absolutism_perma_tt:0 "Maximum Absolutism: §G+25.00§! \n§YThis modifier is permanent and will be active after Age of Absolutism.§!"
 mjl_absolutism_age_max_abso:0 "Absolute Rule Age Objective"
 PR_critical_events_title:0 "Available Critical Events"
 PR_critical_events_desc:0 "Check to see which critical events are still available, a green tick indicates it is available and a red cross indicates it has already been fired"
 PR_radical_reform_decision:0 "Radical Reforms"
 PR_military_reform_decision:0 "Military Reforms"
 PR_commandant_decision:0 "Inspirational Leader"
 PR_grand_captain_decision:0 "Grand Captain"
 PR_commandant_cooldown:0 "Inspirational Leader Cooldown"
 PR_commandant_cooldown_tooltip:0 "Perhaps another time..."
 PR_grand_captain_cooldown:0 "Grand Captain Cooldown"
 PR_grand_captain_cooldown_tooltip:0 "Perhaps another time..."
